time,lat,lon,heading,speed
2026-04-21 22:34:28,25.150029999999997,121.75003,60,5.049181755287699
2026-04-21 22:34:29,25.150059999999996,121.75005999999999,60,5.055177607369803
2026-04-21 22:34:30,25.150089999999995,121.75008999999999,60,4.840264593342992
2026-04-21 22:34:31,25.150119999999994,121.75011999999998,60,5.025645384403909
2026-04-21 22:34:32,25.150149999999993,121.75014999999998,60,4.868444149961766
2026-04-21 22:34:33,25.15017999999999,121.75017999999997,60,5.11020624256254
2026-04-21 22:34:34,25.15020999999999,121.75020999999997,60,5.030615526252144
2026-04-21 22:34:35,25.15023999999999,121.75023999999996,60,5.117989107627531
2026-04-21 22:34:36,25.15026999999999,121.75026999999996,60,4.885436419372389
2026-04-21 22:34:37,25.150299999999987,121.75029999999995,60,4.822706987293787
2026-04-21 22:34:38,25.150329999999986,121.75032999999995,60,5.0964903462815805
2026-04-21 22:34:39,25.150359999999985,121.75035999999994,60,4.909972748291719
2026-04-21 22:34:40,25.150389999999984,121.75038999999994,60,5.049694178019573
2026-04-21 22:34:41,25.150419999999983,121.75041999999993,60,4.841225360624518
2026-04-21 22:34:42,25.15044999999998,121.75044999999993,60,5.184390040595615
2026-04-21 22:34:43,25.15047999999998,121.75047999999992,60,5.0611387821493325
2026-04-21 22:34:44,25.15050999999998,121.75050999999992,60,4.864670758610678
2026-04-21 22:34:45,25.150539999999978,121.75053999999992,60,4.836810086524106
2026-04-21 22:34:46,25.150569999999977,121.75056999999991,60,4.863308547443184
2026-04-21 22:34:47,25.150599999999976,121.7505999999999,60,4.949120595869575
2026-04-21 22:34:48,25.150629999999975,121.7506299999999,60,4.849751634218565
2026-04-21 22:34:49,25.150659999999974,121.7506599999999,60,4.957760449203615
2026-04-21 22:34:50,25.150689999999972,121.75068999999989,60,4.8700730105016055
2026-04-21 22:34:51,25.15071999999997,121.75071999999989,60,5.103977533959054
2026-04-21 22:34:52,25.15074999999997,121.75074999999988,60,5.178630888352141
2026-04-21 22:34:53,25.15077999999997,121.75077999999988,60,4.802287574654786
2026-04-21 22:34:54,25.150809999999968,121.75080999999987,60,5.092226815503558
2026-04-21 22:34:55,25.150839999999967,121.75083999999987,60,4.964952804169445
2026-04-21 22:34:56,25.150869999999966,121.75086999999986,60,4.985890630886717
2026-04-21 22:34:57,25.150899999999965,121.75089999999986,60,4.988525925188853
2026-04-21 22:34:58,25.150929999999963,121.75092999999985,60,4.800617802188845
2026-04-21 22:34:59,25.150959999999962,121.75095999999985,60,4.857210721208978
2026-04-21 22:35:00,25.15098999999996,121.75098999999985,60,5.053636988933861
